hateSpeech,counterSpeech,cnType,Target
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",Do you know that anti-Islamism is actually a form of anti-Semitism? It is equally wrong to hate Jews and Muslims.,Denouncing,MUSLIMS
"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.","Islam is about belief, not a scheme to make millions of pounds from Muslims.",Informative,MUSLIMS
Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,So you think that they are to blame for the racial intolerance that has been seen in many European countries?,Question,POC
"Europe is civilised, Muslims should not stay there.",Do people who make such sweeping statements based on hate and ignorance belong in our civilisation then?,Denouncing,MUSLIMS
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,Positive,WOMEN
Islam is comparable to a disease to eliminate.,Actually 26% of British doctors who are Asian or British/Asian are helping to fight cancer.,Denouncing,MUSLIMS
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Informative,MUSLIMS
Women should not be allowed to vote. They are subhuman.,"Voting is a right for all citizens, regardless of gender, religion, or sexual preference.Aren't your antiquated assertions just our of place in comptemporary society?",Denouncing,WOMEN
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.","Did you know that the concept of “racial science,” and therefore the notion of the Jewish “race”, took root in Western Europe during the 19th century? Anti-Semites adopted racial arguments as a new rationalization for their hatred of Jews.",Informative,JEWS
"Muslims should not exist in our modern world, because all that they do is violence.","It wasn't Muslims protecting Jimmy Saville or Gary Glitter, how many more public figures will we find? It wasn't Muslims turning a blind eye to those in the Church in Ireland or the Vatican. Let's route out child abuse everywhere and not just scapegoat.",Denouncing,MUSLIMS
Jews in Europe do not want to assimilate.,"Jews have always been part of European society, and continue to be today. To suggest that they are incapable of coexisting as equals with us is simply wrong.",Informative,JEWS
"Muslims, if they cannot assimilate, they should emigrate.",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),Informative,MUSLIMS
Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!,"You have a stance, that is your right. But it is not your right to decide for other people (your children and grandchildren) and insult other people.",Informative,MUSLIMS
I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,Photo? Evidence? Did you report them? Or just another internet myth.,Question,MUSLIMS
Jews make too much money.,"If Jews earned so much, they would not need to work. Instead, they are working a lot. Therefore, it seems they need a job to survive.",Informative,JEWS
Those women are all the same: stupid and unreliable.,"If you can't trust someone because of the way they are born, what hope does the world have for everyone? You can't have so much distrust in someone just because of their sex. Don't you think?",Positive,WOMEN
Fucking Muslims are not fit to govern.,"The core values of a democratic state are respect for human rights, equality before the law, tolerance and respect for the diversity of our society. Muslims are a core part of that society.",Positive,MUSLIMS
"Our culture elements must be learned by the Muslims. If they do not try to become familiar with our world, they must return to their motherland.",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),Informative,MUSLIMS
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",Informative,LGBT+
Maybe not all muslims are violent but they all support the jihad and follow sharia law. Islam is fanaticism.,Have you asked every single Muslim about their opinion? I suppose not. Then please do not speak for everybody!,Denouncing,MUSLIMS
Who cares about gay people!,"Gay people are part of our society, and they are valued for who they are. Their opinions and lifestyles are very important to us.",Positive,LGBT+
All Muslims are incompatible with any Western society.,What do you mean? Provide positive news story re islam.,Question,MUSLIMS
The problem of rape in Europe has been present since Muslims immigrants arrived there. They have been protected for years by the government and by the police who have not taken action.,"Do you have any proofs that the rape epidemic exists? That it is due to Muslim immigrants? I think that there are many sad accidents every day, and not all of them are attributed to Muslims. So your words are really strong ones and I would like to see them supported with concrete facts.",Denouncing,MUSLIMS
What is the point in listening to Muslim women? They are all retarded.,"Perhaps if you listened, you'd realise just how uninformed you sound.",Denouncing,MUSLIMS
The crisis is caused by migrants.,What do you mean by migrants causing the crisis?,Informative,MIGRANTS
Muslims cannot add any value to our culture.,The 26% of NHS doctors who are Asian/Asian British beg to differ.,Positive,MUSLIMS
#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?,You are not even trying to mask your racism now.,Denouncing,MUSLIMS
Muslims are all morally bad people.,"There is no need to separate people into 'morally good' and 'morally bad'. It is impossible to define someone as good or bad because Muslim or Christian, all religions are essentially personal beliefs.",Positive,MUSLIMS
Migrants rape our girls and steal our cars.,No one should take migrants' behavior a priori into account. Why don't we try to have a dialogue on how to tackle problems instead of being rude and insulting people?,Positive,MIGRANTS
"We have become like China in the 20th century. With their one child policy, horrible treatment of women, poisoning of drinking water, waste disposal and so on.",It seems to me that this statement is directly related to a contempt and misrepresantation of Chinese culture. Can you provide any more argumentation on what you're saying?,Informative,MIGRANTS
Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,"So all the doctors, teachers, shop owners and workers belong in this category? I do not think so!",Positive,MUSLIMS
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",And who would be 'normal'? I wonder how you would define 'disabled' people?,Question,DISABLED
The influx of refugees and migrants is running UK out of jobs.,Many refugees and migrants have worked hard for the success of our country and have created good jobs for British people.,Positive,MIGRANTS
Western societies are too much civilised to welcome Muslims.,"What makes 'all' Muslims incompatible with Western society? The vast majority of Muslims in Western society share western values of respect, freedom, tolerance, etc. There are only a few that have extremist anti-West views, these are not representative.",Positive,MUSLIMS
Immigrants are coming to the U.S. only as couples to have babies here.,"If people were coming to the U.S for the reason you mention, we would expect to see the same number of women and men. Still there are many more young immigrant men coming to the U.S. than young women. How can you explain this?",Informative,MIGRANTS
Black people are just a bunch of animals that shouldn't exist in our world.,"Humans are born equal, and we all have the potential to be just as good as we want to be. Why do you think that some people are not human?",Denouncing,POC
We need special laws to control Muslims. They are just a trouble.,"We don't need laws and policies to control Muslims. Instead we need to solve problems by sharing knowledge, by decreasing social inequalities, by ending poverty and a whole host of other things.",Positive,MUSLIMS
"We do not want Muslims in this country. They are a burden to our culture, we do not want them here.","The US, as we know it, was founded by people fleeing religious persecution. It was not a state created by and for a small group of people. I don't see how being isolated from the rest of the world could benefit us.",Informative,MUSLIMS
Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,Are you sure? 12 Muslim Nobel prize winners would suggest otherwise.,Informative,MUSLIMS
We must isolate gays because they are spreading AIDS all around the world.,"This is not true and I would never say that about gays. They are just trying to find acceptance, but to be honest, I find it very disrespectful to say that we have to isolate them.",Denouncing,LGBT+
"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.","Are you accusing all the Britain Muslims of antisemitism? I disagree, from my experience they are just usual people who do not show their hate towards anybody, they just live their lives.",Denouncing,MUSLIMS
Feminism is about the domination of the men by the women.,It is about the equality of men and women and the protection of children too.,Informative,WOMEN
Islam oppresses and persecutes gay and women.,"When Germany legalised same-sex marriage in 2017, all Muslim MPs voted in favour, and 223 non-muslims opposed it. Which of those groups sounds more intolerant?",Denouncing,MUSLIMS
I do not really understand why I should listen to Muslim women. They are evidently dumb.,How about influential figures like Baroness Sayeeda Warsi? Or Harvard Fellow Hayfa Al-Kaylani? Should I list some more brilliantly smart Muslim women?,Informative,MUSLIMS
"Muslims should not exist in our modern world, because all that they do is violence.",The world would be a better place if people were more tolerant to each other.,Denouncing,MUSLIMS
"Muslims and non-British people are raping, enslaving and murdering our women! How disgusting!",Evidence please? This is just hatred.,Denouncing,MUSLIMS
We cannot continue to have homosexuals in positions of power in our country.,"Very funny to be ""mocking"" someone for preferring cake and relating it to the country's issues.",Humor,LGBT+
Muslim folks are jealous of Americans.,In America there are no 'second class' citizens. All cultures are welcome here. We are not threatened by others cultures. American Muslims are as proud of our great country as the rest of us.,Positive,MUSLIMS
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,Have you checked violent crime statistics? The idea that there is an epidemic is just an attempt at scare mongering in order to demonize the Muslim community. Religion does not make anyone more likely to rape someone.,Question,MUSLIMS
"We need to kill Muslims, otherwise, they will make us explode!","Right-wing terrorism, especially terrorist activities perpetrated by the far-right are greater in number (in the US) than those motivated by Islamic extremism.",Informative,MUSLIMS
England is becoming a islamic country and the government succumbs to every caprice of Muslims.,Why would you say that? British government has its strict immigration policy which does not allow every Islam or any immigrant.,Question,MUSLIMS
Muslims use corporal and cruel punishment on people.,"Well, when the pope who represents 1.2 billion catholics and the grand imam, the highest seat in sunni islam, sing a joint declaration stating ''we resolutely declare that religions must never incite war, hateful attitudes, hostility and extremism, nor must they incite violence or the shedding of blood,"" i know who i will believe. Stop just listening to the news you want to believe.",Informative,MUSLIMS
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Are you suggesting that their very existence is an excuse for your hate?,Denouncing,MUSLIMS
"Muslims have immoral costums and they abuse women and all persons that are not following their religion or have different sexual orientations. However, our society accept them for liberal standards. The goverment should stop tolerating them.",How exactly are Muslims oppressing other cultures? Do you think maybe spreading the opinion that all Muslims are homophobic and sexist demonises them and legitimises oppressing their culture?,Denouncing,MUSLIMS
Only who cannot understand what Islam and Muslims really are can support it.,"What, a faith of hundreds of millions of people from all walks of life?",Informative,MUSLIMS
"Nowadays the big problem in London is the presence of muslims, they must go away!",If you had said 'the home counties' I might have given this tweet a like.,Humor,MUSLIMS
There is people that publicly sentence Islam and Muslims. I respect them! All western citizens do not tolerate this dreadful cult.,"Muslim radicalism is one thing, and generalizations about all Muslims is another thing. It is not right to generalize about all the Muslims and state that 'we hate them all!'.",Denouncing,MUSLIMS
"You think these Muslim cockroaches have won? No, now is time for bloody retribution!","Quick while they're distracted being doctors, nurses, teachers and just getting on with their lives. (its comments like yours that creates tension and conflict)",Humor,MUSLIMS
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",So you are saying that you'd rather be nuked than live with them?,Question,JEWS
"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.","Can I suggest that some of the cruelest acts in human history have been committed the name of politics just as much as the various faiths, and that this is more about what it is to be 'human' than any aspect of 'divinity'?",Informative,MUSLIMS
Muslim invaders are a plague on our continent. They have ruined our beautiful continent.,"They aren't a plague, and I think they have enriched our continent instead.",Positive,other
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,The 100 million pounds they donated to charity on Ramadan must be part of that evil plan to blow everyone up.,Humor,MUSLIMS
The vast majority of Muslims are unemployed and refuse to work.,That is not what I observe from the many hardworking muslims contributing to our economy.,Informative,MUSLIMS
"Where there is Islam, there cannot be peace.",Iceland and Switzerland are both named as countries at the top of the 'Global Peace index'. Both have Muslim populations.,Informative,MUSLIMS
Islam is the cancer of the world and need to be surgically removed.,What is truly cancerous is hatred towards an entire faith.,Denouncing,MUSLIMS
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.,"When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.",Denouncing,MUSLIMS
"I hate migrants: they are criminals, they are rapists, they are a burden to our society. They are animals, in a nutshell.","As long as you can talk to them, they are human, not animals. As long as you can understand them, you will understand that they are human beings with human rights whose only crime is to come from another country.",Positive,MIGRANTS
Jews have no place here. They are not a part of our country.,I do not understand why where Jews live is such a big deal to you.,Informative,JEWS
Disabled people should be left out of the education system because of their impairments. They will never meet their lifetime goals.,"Disabled people, at least with respect to school attendance, education spending and employment, still receive a great deal less attention than other people, and this is why many do not achieve their life goals.",Informative,DISABLED
One of many Pakistani rapist.we should extradite them from our country.,Sounds like falsely-informed anti-migrant sentiment sparked by biased media coverage.,Informative,MUSLIMS
Downies cannot choose their future.,"If they have the right to vote, then they can also make decisions on their own about their life.",Positive,DISABLED
"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.","Aren't Easter Eggs just another example of corporate greed cashing in on religious celebrations? Surely Easter is a good time to reflect on our consumerism, what are you giving up for lent?",Question,MUSLIMS
Muslims have nothing to contribute to our society.,Since when has Islam not contributed anything to our society? I would like to check your sources.,Informative,MUSLIMS
Jews have a lot in common with monkeys: They are good at sex.,So many similarities between Jews and apes? What is wrong with them? Is it because of their religion?,Question,JEWS
Islam corrupts our children in schools and this is a shame.,"Maybe by learning about other people's beliefs, your children will turn out to be tolerant understanding people. Look at the bright side!",Positive,MUSLIMS
Only 8% is a real refugee,"The percentage you are talking about refers only to ""refugee status"" and does not include protection for those who escape from wars.",Informative,MIGRANTS
"Our government forgot about our Christianity? For long time we fought Muslims, putting an end to their brutality. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.",Have you forgot that this country respects people of all religions?,Denouncing,MUSLIMS
"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.",No. This is not true. How can you say this about an entire faith?,Denouncing,MUSLIMS
Disabled people should just live in isolation.,Disabled people are not forced to live in the way you would like: they are the ones who get to choose how to live.,Positive,DISABLED
Above all Islam is a religion of conquest.,"Every religion talks about conquest, this isn't specific to Islam.",Informative,MUSLIMS
All gay are paedophiles.,I think this statement is hurtful to LGBT+ people. How about you explain it?,Informative,LGBT+
The Jews are a virus spreading through our culture.,How would you feel if someone said that about your own religion?,Denouncing,JEWS
Jews aren't like other believers. They are the worst. They cannot be 'liked' or 'loved'.,There is nothing special about Jews. They are just people united by the same belief as in any other religion.,Informative,JEWS
Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,Are you talking about the Muslim doctors and medical researchers treating and finding cures for these illnesses?,Humor,MUSLIMS
"#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.","Actually, I think that the whole point of #VisitMyMosque is to ask questions.",Denouncing,MUSLIMS
Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.",Positive,DISABLED
Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.,"Why do you call Pakistan a disgusting country? It has its culture and values. We cannot say that every Pakistani person is a rapist. Thus, you should not insult all the Pakistani people.",Denouncing,MUSLIMS
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, is still the majority.",Denouncing,MUSLIMS
Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,How can you use such language to describe a religion of 1.6 billion people?,Denouncing,MUSLIMS
You better be careful who you vote for. My gay 'friends' vote against us. We must stand up to them!,What 'we' means? Are you saying that every gay person you know should vote against you? Or do you think some of us identify as LGBT?,Question,LGBT+
"If you are nomads, then go somewhere else but not in my country.",They are not nomadic by culture but due to discrimination.,Informative,other
Muslims are the ones who invented the slave trade.,"That is misleading! The Atlantic slave trade was mostly linked to Christians, but no one calls it Christian slave trade.",Informative,MUSLIMS
This is why I hate Jews: they have no moral standards.,Actually the vast majority of Jews have moral standards. Why don't you try to learn from their example?,Informative,JEWS
"Islam is an ideology of conquest and violence, it is the cause of terrorism and radicalisation.","You are not saying that Islam is not a religion of peace, are you?",Informative,MUSLIMS
We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,"Poverty, brexit, austerity, homelessness. Please enlighten me as to how banishing Islam would solve these problems?",Question,MUSLIMS
"If a Muslim child were to behave in such a way towards another child it would be stereotyped as 'Jihadist', this is terrorism not a religion!","Not all Muslims are terrorists, and I do not want to cause offence, but what you said is just not true.",Informative,MUSLIMS
These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,Humor,MUSLIMS
It is one law for Muslims and another law for us.,Evidence please?,Question,MUSLIMS
"A Muslim is so oversensitive, that we cannot raise our national flag.","I saw that bit of news, nothing to do with the man peeing on the floor and punching a security guard then? That was allowed and he was chucked out for wearing a flag.",Denouncing,MUSLIMS
Gays in the closet are a problem.,The fact is that there are individuals in the LGBT+ community who are fearful to expose their identity is the issue. I don't understand how someone being in the closet is a problem to you.What are you doing to make them feel safe enough to be who they are?,Informative,LGBT+
The British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.,"Are you forced to pray in a Mosque? Or observe all the rules? As far as I see it, Muslims follow their traditions, that is their right, but they do not convert anyone in our society.",Informative,MUSLIMS
"Women should be confined to the home, to raise the children.","Women have every right to their own thoughts and beliefs, and to have a say in their own life.",Positive,WOMEN
"All Muslims should be deported, no one wants them here.",That is quite a generalisation. What have 'all' Muslims done to deserve being deported?,Question,MUSLIMS
"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.",Is this actually a way forward? I do not think that religious practice is responsible for bad behaviour of some people. Clearly there are other motivations for this type of behaviour.,Denouncing,MUSLIMS
All immigrants are rapists and murderers.,"One should not conflate two or more different groups of people, especially in the case of criminals. Being criminals cannot be considered as a distinctive feature of the other. Where is the evidence for what you're saying?",Informative,MIGRANTS
"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.",You aren't seriously suggesting that only Muslims are rapists?,Denouncing,MUSLIMS
"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Islam is a religion of peace and tolerance [insert quote from Koran].,Positive,MUSLIMS
Jews are nothing but monsters. They do not share our values.,Being tolerant to people of other religions or cultures: that is what the freedom of religion is all about!,Positive,JEWS
Blacks are criminal. They are a threat to society.,Such statements are just fear-mongering. There is no such thing as a criminal race.,Informative,POC
We should deport all those that do not want to assimilate into Western society.,The reason we have migrants in the first place is because they flee from wars we are responsible for.,Informative,MIGRANTS
I do not really understand why I should listen to Muslim women. They are evidently dumb.,"That is quite a big generalisation, and obviously a false and discriminatory one too.",Denouncing,MUSLIMS
The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"The problem here is not whether they should or shouldn't come, but it's about how they're getting treated while in detention. It wouldn't be bad to put them in temporary detention humanely.",Informative,MIGRANTS
Everything will be better if Muslims did not exist. Their only contribute to our society is violence.,Many Muslims have engaged in protests to demonstrate their upset and disgust regarding the various grooming gangs scandals in the UK.,Informative,MUSLIMS
Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,"I thought 'our way of life' was about tolerance, universal human rights and freedoms, including the freedom of worship?",Denouncing,MUSLIMS
Every Muslim is a potential terrorist.,Why would you stereotype and generalise an entire community for actions of a few?,Denouncing,MUSLIMS
Gays are just a bunch of disgusting animals.,"I think this statement is very demeaning. Please do not stereotype, and accept our diversity as human beings.",Denouncing,LGBT+
Muslims are ruining our religious statues. Why should we support such criminals and build mosques for them? Why does the government want to accept more immigrants?,"This is generalization. Maybe the case you mentioned is just the minority. Besides, some governments even destroys pepople's house. We should pay much more attention to this instead.",Informative,MUSLIMS
What is the point in listening to Muslim women? They are all retarded.,"It is just so hard to take you seriously when your Islamophobia, misogyny and disablist language combined make you seem excessively uninformed.",Denouncing,MUSLIMS
"If they do not adapt to our culture, they can go away.",What if somebody is UK citizen and muslim?,Question,MUSLIMS
Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.,"Even if few found the Islamic State 'worthy' of worship, you should know that not all Muslims share this view on their faith.",Informative,MUSLIMS
The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,"The argument that the only reason the Jews are not being assimilated is because of the way they are represented in politics is untenable. In fact if Jews were represented objectively, they wouldn't have had suffered in the historical crimes against humanity.",Informative,JEWS
"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.","I do not think Muslims constitute the major fraction of our society. Thus, I do not think the labour party is biased towarda them.",Informative,MUSLIMS
Muslims cannot add any value to our culture.,"Muslims have an excellent academic record, with many well-known Doctors and Professors.",Informative,MUSLIMS
Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",Informative,JEWS
"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.","Oh, think about it for a while, it's not that simple. Being oppressed is a social problem and requires social change.",Informative,WOMEN
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,[quote from Quran about peace and love] lol don't look like it m8.,Positive,MUSLIMS
"I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?","You cannot be racist towards an ideology. You can, however, be discriminatory and intolerant towards the people that follow it.",Informative,MUSLIMS
I don't see how a transgender person can ever be accepted in a conservative country like some states of the USA.,"Many LGBTQ+ people have been successful despite the existence of discrimination, even in USA.",Positive,LGBT+
"It is safer not to share a meal with a Muslim, because you can catch HIV or Ebola!",This sounds like a science fiction if you ask me!,Humor,MUSLIMS
A Muslim is only allied with Allah.,"Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?",Denouncing,MUSLIMS
"I will not allow my kids to marry a muslim! Go to hell Muslims, I hate you!","I do not know what Muslims have done to you, but I know many beautiful and kind persons among them. So it is very rude and inconsiderate of you to call them disgusting.",Positive,MUSLIMS
"I support China, they forced Muslims to eat pork and drink alcohol. This is how you do it!","Would you say the same if this was about say, Tibetan Buddhists suffering the same sort of coercion?",Denouncing,MUSLIMS
Westerners believe Islam is incompatible with their world. They consider it a religion worse than others. There are surveys about this.,"Isn't this the result of the conflation of the the 'actions' of some people professing a faith in Islam, with the religion itself. In Christian terms, this would be like judging Catholicism on the basis of the behaviour of a handful of the clergy.",Denouncing,MUSLIMS
Western societies are too much civilised to welcome Muslims.,"I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.",Denouncing,MUSLIMS
Immigrants should all be deported.,"Immigrants are entitled to the fundamental rights of UK citizens. If provided by the law, they can remain in the UK even if they weren't born here.",Informative,MIGRANTS
Jews run our country.,"To believe that Jews run our country is absurd, especially if you consider that the U.S. is a democracy. This looks like a conspiracy theory.",Informative,JEWS
Every Muslim can commit a terroristic attack one day.,"Every Muslim also has the potential to fight back against terrorism, show support to it is victims, and make the world a better place. (insert news articles about Muslims against terrorism, helping after terrorist attacks, etc.)",Positive,MUSLIMS
Men should not spend time with women. It is in their best interest to remain far from their bad influence.,"According to your beliefs, men and women are different in their rights. They are not.",Informative,WOMEN
We must send Islamics back to their native countries. They are too different from us.,"Who are you to decide what is compatible with our values and what is not? It is just your opinion, and hopefully politicians will not listen to people like you and oppress Muslims who had not done anything wrong.",Denouncing,MUSLIMS
"I don't think that gay people can have rights, since they're unnatural.","Your claim has nothing to do with the evaluationary and scientific studies, suggesting that homosexuality is in the genetic codes (hence, they are 'natural'). Maybe you are concerned about their 'unconventional' love.",Informative,LGBT+
Using violence to punish another person? Sounds like a muslim issue.,Why is this a muslim issue? All peoples have from all walks of life can be violent?,Denouncing,MUSLIMS
migrants steal our jobs,"There is a lot of evidence that migrants are hard workers, accepting jobs we don't want to do anymore, still they often do not get a fair say in the economy.",Informative,MIGRANTS
"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",Africans feel pain just as any other humans. We must respect their bodies like we respect ours.,Informative,POC
"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.","If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.",Informative,MUSLIMS
