id,hatespeech,counterspeech,csType,target
23,"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.","They have the same rights as all other citizens in the US: to be protected from discrimination, to choose their own leaders and to be free of violence, rape, and murder.",Informative,POC
24,There is nothing for the white race: it is the one really disriminated.,"Do you actually know what it's like to be racially abused on a daily basis? I've seen people being the target of racist taunts on social media, up to the point in which racism is the normal expression used to address them.",Denouncing,other
25,I hope all LGBT people were to die of AIDS. That would be the end of homosexuality!,The LGBT community has shown how they can be good people. They are willing to spread help and support to loved ones. Maybe you should try to do the same?,Positive,LGBT+
26,"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Teachers, school staff and parents all have a responsibility towards the children in their charge, regardless of their genetic advantages or disadvantages",Informative,DISABLED
27,"Women are naturally more emotional than men, and this make them weaker.","Research clearly shows that women are more emotionally expressive (because of culture influence) but not that they experience more emotions. Both men and women can feel the same way about things - whether it be a romantic relationship, a significant other, an argument, or anything else - that can provoke a feeling of fear or anger in the “emotionally unavailable” part of the brain. That is why emotion overrides everything, regardless of gender.",Informative,WOMEN
28,Migrants are the cause of the migrant crisis.,"They are not the only ones to blame for the crisis. People from all over the world come to our shores fleeing from wars, but this doesn't make them the cause of those wars.",Informative,MIGRANTS
29,Downies may hinder the productivity of other workers. They should be isolated.,"An inclusive working environment and welfare provision make every person feel part of a community, it fosters a positive atmosphere and increases everybody's productivity. Thus it is a benefit for all workers. [link]",Positive,DISABLED
30,We mustn't confuse diversity and inclusion with black supremacy.,"Diversity does not mean excluding people from a part of society. What it is about is sharing experiences, ideas of people of different ethnicities. This would help to develop our abilities to understand each other and perhaps to work out ways in which we can all benefit from one another's knowledge.",Informative,POC
31,"I would never trust a woman. They are irrational children, and that would be a sign of weakness.",I am not sure what 'weakness' would be implying here. It seems to me that you are saying that a woman can't be 'rational' because that is the nature of women. Why is it so?,Questioning,WOMEN
32,"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.",Informative,MIGRANTS
33,This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.,This is a case of racial discrimination. There is a continuous rise in crime and violence in this country due to poverty and other inequalities. There are also racist groups in society which promote the idea of POC as inferior. This idea has nothing to do with justice.,Denouncing,POC
34,We cannot allow Muslims into our country.,"We cannot allow Muslims to immigrate, because they have a propensity for crime, terrorism and other things? You are making a strong generalization without any scientific proof...",Informative,other
35,Women leaders would collapse the government.,"Women succeed in business, politics, etc. No-one gets government contracts because they are bad or incompetent, but because they are good or intelligent. There are many women leaders. Think about it.",Informative,WOMEN
36,"Jews are not a religion because they have chosen a selfish, materialistic lifestyle.",This is simply not true. People from all walks of life and religions can choose a 'materialistic lifestyle' and this is just as real for Jews as it is for anyone else.,Informative,JEWS
37,Women are inherently subhuman and should not be valued.,"That is just not true. There are many women who are brave and strong, and I respect them for that. What's more, there is also a movement called #MeToo, which is dedicated to giving voice to women who have suffered from sexual harassment.",Positive,WOMEN
38,"Took this in Wanstead, east London. An area with ￡1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","Is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? Do I need to go on?",Informative,other
39,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.",Informative,LGBT+
40,Jews are just selfish.,Jews have always been concerned about the well-being of the community they live in and how can they be selfish when they suffered so much during Holocaust?,Informative,JEWS
41,Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,"I'm not aware of any evidence of affirmative action causing an uptick in violence. Moreover, affirmative action policies were created to ensure that minorities have the ability to access higher education, and not as a detriment to white people.",Informative,POC
42,All black people are criminals.,"It is a myth that all black people are criminals. They are just as capable as anyone else of learning and growing as individuals, i.e. either as law abiding citizens or criminals.",Informative,POC
43,"The feminist theory makes no sense. It is about equality, for women only.","If there is one thing feminism is really about, it is equality, and the idea that some people are more worthy of equality than others, this is obviously an anathema to that idea.",Informative,WOMEN
44,Blacks have zero respect for others.,"It is not true that blacks have zero respect for others. However, I would like to see more respect and protection from white people towards black people.",Positive,POC
45,Mentally ill people shouldn't be treated: they should just be isolated. They are a failure of society. We should not accept them.,The fact is that many of those diagnosed as having 'mental illness' are actually in need of mental healthcare. I can't see how you could say otherwise.,Informative,DISABLED
46,Jews made the 9/11 attack.,We live in a complex and multifaceted world. It is easier to blame one group for everything rather than studying hard and trying to understand this complexity.,Informative,JEWS
47,Gay men are a burden to society and should be isolated.,"Being socially isolated can have many health and social negative consequences: it inhances the risk for mental disorders such as depression, anxiety, and suicide. Why should we impose that to someone just for how they conduct their private lives?",Informative,LGBT+
48,MIgrants are not running away from wars.,"It is true, they often run away from persecution, violence and hunger. If I were in the same situation, I would not think twice about escaping. Wouldn't you do the same? It seems to me a very human instinct.",Informative,MIGRANTS
49,We shouldn't welcome Muslim refugees. They are most likely to perpetrate terrorist attacks in Europe.,"We have to accept that terrorism is a problem in many parts of the world and due to people of different faiths, but the more we ignore that, the more dangerous it becomes to think it is caused by one religion.",Informative,other
50,We are ruled by a small Jewish elite that exploit the weak.,"Yes, some people exploit the weak, but they are not necessarly jewish. Most people, including the Jewish, work hard to create a better life for their families. And it is we, as a people, who have the moral duty to pay the price for the poor who do not have the means to reach success.",Informative,JEWS
51,The disabled should not to be allowed to vote.,This is just nonsense. Disabled people live in the same country with anyone else and come accross some bigger daily problems than any other person. So they have every right to vote and even more saying in the issues that must be addressed by the electees in this country.,Informative,DISABLED
52,"I can't stand migrants, I hope they starve to death.",The Western world has seen a high rate of immigration in recent years. Many of those refugees are fleeing conflict and poverty. To treat them with hate is of no help to them and to us.,Informative,MIGRANTS
53,We should start a genocide against gays.,That is not acceptable. We are full members of society regardless of our sexual orientation and we should try to live as if we belong to a group that includes everybody.,Denouncing,LGBT+
54,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",Informative,MIGRANTS
55,"Jews are good with money because they are cheap, greedy, and materialistic.","Like all groups of people, some Jews are good with money; some are not. Some Jews are cheap; some are not. The same can be said for any group of people, whether you define them by religion, nationality or whatever characteristics you choose.",Informative,JEWS
56,Blacks are beasts and sexual predators.,"Reminds me of white supremacists talking about the Central Park Five. Do you remember? What do you think they are going to say next? That they got a fair process? That they had a good attorney, and the only reason for the sentence is that they were guilt? No, the process was not fair, it was just the natural consequence of prejudice like the one you just expressed.",Informative,POC
57,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.","Rapism is banned in the Muslim community equally to our community! It is not true to say that Muslims do not care about such matters. They discuss it widely in their families, though not publicly.",Informative,MUSLIMS
58,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"Being perceived as overweight is already one of the major reasons people get bullied, and in the end it makes no difference if the bullied person loses weight.",Positive,other
59,Being gay is not normal nor healthy.,"Homophobia is a problem all around the world, it's harmful to the whole of humanity. This is why it is important that we all accept each other, and that we all are non-judgmental.",Positive,LGBT+
60,We must be selective in welcoming fucking foreigners.,"It is difficult to put a limit on world migrations, especially in a time of globalization. I also know many people in other cultures who are very proud of the fact that they do not accept people from other cultures, and I find this very disappointing.",Positive,MIGRANTS
61,"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself.","Fatou Bensouda is a known, highly respected human rights lawyer and has fought to build foundations for accountability for human rights violations committed by foreign military powers. In other words she is well connected to the United States and is well-suited to handle cases of State-sponsored violence.",Informative,WOMEN
62,Western societies are too much civilised to welcome Muslims.,The Bible the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?,Denouncing,MUSLIMS
63,Being disabled is equivalent to being gay.,"There is no point in insulting someone for being gay or being disabled. Individuals should be treated as individuals, and given the same opportunities. Being disabled does not make you gay, or viceversa.",Informative,other
64,mentally ill people should be isolated from society because they are dangerous.,"There are certainly some dangerous people with mental illnesses. But we need to deal with those cases, otherwise, the exclusion would only intensify. And exclusion is never the solution.",Informative,DISABLED
65,"Took this in Wanstead, east London. An area with ￡1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","There are so many empty homes in our country that we could house every single homeless person, without the need to build a single apartment. It is the government that chooses not to. Homelessness is about wealth inequality not migration. If you genuinely care about poverty you need to question power structures and wealth distribution.",Informative,other
66,Gays are perverts.,"This is a statement that is used to justify all kinds of discrimination and violence, therefore I do not think this statement can be useful in understanding each other.",Denouncing,LGBT+
67,International Muslims should return home.,"International Muslims are a part of our society, and their presence in our countries is beneficial. We do not want them to be discriminated against here.",Positive,MUSLIMS
68,"I'm tired of seeing gay people around, they should be let alone.","The lack of support and help to the gay community is a major problem, and this is why we should all do our best to stop discrimination, instead of spreading it.",Positive,LGBT+
69,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Are you sure? Even in the west, there are women who still don't have equal access to many of their rights, especially when it comes to healthcare. [https://www.motherjones.com/politics/2018/05/this-map-depicts-abortion-access-across-america-and-its-really-bleak/]",Informative,WOMEN
70,We cannot coexist with black who are inherently violent.,"Maybe it is better to argue that we are all in this together and not to target an entire group, for which there is no evidence of inherent violence at all, based on their skin.",Informative,POC
71,Fat people are a burden to society because of their unhealthy choices.,"Whilst there are a number of individuals who have certain diseases which can influence their weight, the problem lies with the food industry manufacturing obesity and then putting the responsibility on the individual to loose that weight by buying ""low fat"" foods. These ""low fat"" foods are often owned by the same companies selling unhealthy food and don't tackle the cause. Although the individual is always responsible, the food industry is perhaps more so.",Informative,other
72,"Immigrants are flooding across our borders, and they do not want to work.","There is evidence there is a migration crisis, I agree. But their will to work is one of the main reasons behind the migration. The EU-27 employment rate for people aged 20 to 64 years was 64.4 % for those born outside the EU.",Informative,MIGRANTS
73,Jews are only interested in power and financial gain and should be despised for that.,"Power and wealth are not the preserve of Jews. Power and wealth are earned by everyone, irrespective of religion, and I don't see any motivated reason why it shouldn't be like that.",Informative,JEWS
74,"Jews are selfish, cheap and greedy, not like other religions.","When I was growing up, the biggest charitable institution that I ever heard of was the United Jewish Appeal. The average annual Jewish household donates $2,526 to charity yearly, far more than the $1,749 their Protestant counterparts give or the $1,142 for Catholics, according to data from Giving USA.",Informative,JEWS
75,Did you know that an epidemy of rapes started in Europe when Muslims immigrated? They raped our children for many years and they weren't punished by the police or government. Islam is a cult based on violence and death!,"Do you know, according to UK's official statistics, women were more likely to experience domestic abuse than men. This was true for all types of domestic abuse, other than non-sexual family abuse. Around three times as many adults experienced sexual assault by a partner than by a family member.",Informative,MUSLIMS
76,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"This depends on whether you consider gender identity and sexual orientation to be factual or not; it isn't simply an 'idea' or 'belief', but a fact of life.",Informative,LGBT+
77,"Black minorities vote to strip wealth, power and opportunity from White people.","We are all equal in the eyes of the law, and we are all born equal in dignity and rights. Diversity of thought and belief is a strength, discrimination is not.",Positive,POC
78,"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.","For the record, I don't see how this would be an improvement. On the contrary, it is important not to accept things at face value. That is why we should meet people from different religions and cultures, regardless of their origin.",Positive,other
79,Women mustn't be allowed to vote.,"On the contrary it is really important that women have the right to vote. We have to remember that even if men and women are different, they deserve the same rights.",Informative,WOMEN
80,The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,"I would agree that the problem of violence in society is a problem of poverty and inequality. But that is not related to ethnicity. The problem of violence in our society is largely caused by society's corrupting influences on people. That is the whole point of saying ""the world has become too violent"".",Informative,POC
81,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of feminism?","My reasoning is that equality is possible only within a framework of reciprocity and respect. This is something that must be implemented by spotting a light on the disadvantaged first, and this is why it is called feminism.",Informative,WOMEN
82,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","Even if this were true, it does not negate that there may be racial disparities at the root of crime. I would prefer to fix the disparities rather than fan the flames of racism.",Informative,POC
83,Jewesses are a burden to society.,"What you are saying is that a certain gender is a burden to society because of their religion. So, is your argument not about women alone, but about you and your hatred of religion?",Denouncing,other
84,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept others isn't state enforcement. It's just stating that we should stop the persecusion of people who have different private lifes.,Positive,LGBT+
85,Jews think they are better than everyone else,"The “chosen people” concept has been twisted over time, it has nothing to do with ""being better"" than others. It is a religious concept coming from the Torah.",Informative,JEWS
86,We should refrain from imposing gender ideology on children.,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.,Informative,LGBT+
87,"Asian immigrants are taking over, and they steal our jobs.",What do you mean by 'taking over'? Are immigrants from countries like India or China being forced to leave their country? Are they being forced to do the jobs that were once reserved for us and that now we despise?,Questioning,other
88,Muslims are not civilised and Europe does not want them.,"Is it civilised to think that millions of people from different countries, cultures, and traditions and branches of Islam? Would you think that about any other religion?",Denouncing,MUSLIMS
89,No nigga should have the right to vote.,"If someone is not allowed to vote, they cannot influence the legislative or executive branches of a government and they end up rising up against injustice and oppression. Is this what you want: more ethnic clashes?",Informative,POC
90,"These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.","Double standards all round lots of British culture and Christian faiths oppress women, homosexuals and other cultures from #equalpay #metoo #timesup job restrictions in the church to condoning/ hiding sexual violence and child exploitation #thetruthproject.",Informative,MUSLIMS
91,There should be restriction on trans actors in action movies. This cannot continue.,There are very few transgender actors in films and almost no evidence of transgender characters according to GLAAD SRI index (at least for 2019). Gender discrimination in the mainstream movie industry is endemic and this is what cannot continue.,Informative,LGBT+
92,Black people are ‘super predators’. They should take responsibility for letting their children grow up in a 'ghetto'.,"If we are to talk about crime being the responsibility of black people, we should also be talking about the absence of black people in positions of power, the massive wealth gap, etc. But this is not what I am seeing.",Informative,POC
93,Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.,"Except the ones that diagnosed my illness, take care of me in hospital, drive me to where I need to be, cooked my delicious take away when I haven't got time, teach my children in school. Get the point?",Denouncing,MUSLIMS
94,Have Muslims ever made a contribution to our society?,"[insert picture of first/second world war Muslim soldiers, example The World's War, Forgotten Soldiers of Empire] they have fought and died for our country.",Informative,MUSLIMS
95,Children with learning difficulties should be excluded from education because they do not belong in school.,"It is not true that children with learning difficulties do not belong in school: instead, they often attend schools with considerable support. In fact, if you talk to teachers and academics, many of them would tell you that these children thrive in school.",Informative,DISABLED
96,The feminists are just whining a bunch of lies to promote their agenda of gender equality.,"Yes, the feminists are saying that the proportion of men in leadership positions is too high in many Western countries. But that is because the problem is structural. The problem is that too many women are being taught to be ""feminine"", thus making it hard for them to succeed.",Informative,WOMEN
97,"Afro-European?? We in UK are white, this just not makes sense.","The racial composition of the population of this country has been changing for a while now, and since then, the percentage of people from other racial groups has risen or fallen. In fact, according to the 2011 statistics, at least 15% of people in the UK are non-white.",Informative,other
98,"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped.","Feminism is a call for equality, and it has served the world well in the past, but it has still much to fight for. Now is not the time to undermine its progress.",Informative,WOMEN
99,"Migrants are overrunning our country, taking advantage of our weaknesses.","Do you really think that the migration crisis is caused by migrants wanting to take advantage of our weaknesses? What would we do if we were in their shoes, if we were to lose our homes? We would probably move ""to take advantage of others' weaknesses"" as well.",Questioning,MIGRANTS
100,Gypsies get the priority for council houses.,"The procedure for obtaining accommodation is the same for everyone, through the graders. The law does not differentiate according to categories, ethnic groups or minorities.",Informative,other
101,Jewish folks only care about money.,Over the years the wealth gap between non-jews and jews has narrowed significantly. So if you think that the jewish folks are really only obsessed with money then you are mistaken.,Informative,JEWS
102,disabled: they should not be allowed to work.,"The law allows people with disabilities to work, but it doesn't make it mandatory. You might find that in some countries this rule is not followed, but this a problem of discrimination.",Informative,DISABLED
103,"Women are a bunch of lapdogs with subservient attitudes, and therefore bear the blame for their position in society","Being a woman does not mean that you are submissive to others. Women can be both outspoken and placid, but it is important to respect the rights of others as human beings.",Positive,WOMEN
104,I'm tired of seeing gay people befriended with heterosexual people.,"I'm sure many gay people are subjected to unspeakable forms of abuse, but the real abuse is from heterosexual people who don't conceive something different from their own sexual orientation. The real issue is the prejudice that oppresses them, not friendship.",Positive,LGBT+
105,Illegal immigrants are sub-humans.,"Immigrants have given their lives for our country. Many of them have been proud to serve our country. They are, just as our fathers and mothers were, proud of US.",Positive,MIGRANTS
106,"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.","Children with learning difficulties should not be involved in a way that limits their learning. As for the other children, their values should be enhanced.",Positive,DISABLED
107,You should stop pretending that the disabled are like us. They are the root of most human problems.,I think we are all born with inherent strengths and weaknesses but such limited notions of what it is to be 'human' have been a basis for a whole heap of problems,Positive,DISABLED
108,"Of course, we must discriminate unhealthy behaviors not fatties!","As your words clearly show, obesity is perceived as the outcome of poor lifestyle decisions or weak power of will. This builds bias against obese people.",Informative,other
109,Every person who is physically or mentally disabled should be removed from society.,"Unfortunately, there are some individuals who are in need of continuous healthcare. For example, children with Down's Syndrome. How could they just be 'removed'?",Informative,DISABLED
110,"Women are basically childlike, they remain this way most of their lives.","Technically speaking they are children until they are of legal age... After that they are adults who are free to do whatever they want, included being childlike (if they want to).",Informative,WOMEN
111,"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","The notion of isolating children in general is abhorrent, isolating down syndrome patients would be a major cause of their school abandonment. To say that isolated children is a solution is just wrong.",Denouncing,DISABLED
112,Immigrants are coming to the U.S. only as couples to have babies here.,"If people were coming to the U.S for the reason you mention, we would expect to see the same number of women and men. Still there are many more young immigrant men coming to the U.S. than young women. How can you explain this?",Informative,MIGRANTS
113,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,"Why have we built Churches all over the world? How many holy buildings have we demolished over history? This is never acceptable, but can we really be casting the first stone?",Denouncing,MUSLIMS
114,Blacks are just an inferior bloodline to our own. We should remove them.,The concept of race is a social construct and was created to promote segregation by discriminating groups of people. To label a person by their biological makeup is not conducive to the respect of a person's humanity.,Informative,POC
115,In the EU there is gender parity. We should shut those feminists up.,True that in some places (such as Ireland) there seem to be gender parity. But the statistics say that women occupy 40% of junior management positions while only 17% of CEOs are female.,Informative,WOMEN
116,Muslims have nothing to contribute to our society.,"Unless you consider spending over 20 Billion pounds per year, being one of the highest online charity givers, creating a third of small to medium enterprises in London and that is before we talk about the international contribution.",Informative,MUSLIMS
117,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.",Positive,DISABLED
118,This is not about racism. This is about power.,"There are many different groups who share a common interest in advancing the interests of the nation while respecting each other's autonomy. Diversity is good for the country, for the individuals and for the world.",Positive,other
119,Black folks are genetically inferior.,"It is not true that blacks are genetically inferior to others. As statistics and studies show, black people are genetically similar to their non-black counterparts.",Informative,POC
120,If you are a Jew you are for sure involved in 9/11 planning. This is all about Race and 'Enlightenment'. Youe are all guilty until proven innocent.,"Even if it were true that some people are more prone to believe conspiracy theories, it is still true that we can all benefit from a shared perspective on things. And surely believing in factual evidence does that.",Informative,JEWS
121,"Women are naturally more emotional than men, and this make them weaker.","We don't know what characteristics make a person “more emotional”, how can we be sure that women are naturally or genetically “more emotional”? I do not think it's appropriate to link two concepts so strongly without scientific evidence.",Informative,WOMEN
122,Migrants are just happy-go-lucky people who do not take responsibility for their actions.,"Migrants are often subject to dangerous situations in their countries of origin (violence, torture, rape, just to mention a few) and migration is often the only solution. They may appear 'happy-go-lucky':but aren't they just glad to be alive and safe?",Informative,MIGRANTS
123,Jews are purposely keeping America down.,"All cultures have different beliefs and practices, and so have differing values, but its nonsense to say Jewish people are trying to subvert Western civilization.",Informative,JEWS
124,"The Gypsies are not my brothers, they are just a bunch of whining pussies.","Did you know that Gypsies were persecuted in the past by the Nazi (search for Romani Holocaust, also known as the Porajmos)? They have always fought for equal rights and we should respect them.",Informative,other
125,Asians are basically just a bunch of slobs and I don't like how they are accepted here.,"There is a wide range in income and education, as well as religious and ethnic background, amongst people from Asia. What exactly is the reason why you don't like them all?",Informative,other
126,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.","This discouragement or disaproval (as you call it) has and will likely continue to take the form of shaming individuals, regardless of the terminology you use.",Denouncing,other
127,Migrant children shouldn't be accepted here.,Migrants who come to this country as children are capable of integrating into the society. They should have the opportunity to work and contribute to our economy.,Informative,MIGRANTS
128,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.","Same reasoning could be applied to men. They also have these problems, but are less likely to be personally chastised for how they make those same choices.",Informative,WOMEN
129,Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,Women and gay people have been persecuted by many groups all over the world and it needs to change. Is there a particular reason you are picking on Islam?,Questioning,MUSLIMS
130,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"All blood is tested for pathogens and viruses, without regard to donor background or similar. I really do not understand your concern: ""Each unit of blood donated in the U.S. is routinely screened for various infectious disease pathogens, including five transfusion–transmitted viruses, using nine laboratory tests."" - [link]",Informative,LGBT+
131,All gay people are criminals. They are unfit to be in a free society.,"This is just a myth spread by the so-called 'anti gay' movement. They are trying to create a climate of fear by using this unjustified arguments, but it is not helping to build a more just society.",Informative,LGBT+
132,"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.","If you want to fight racism, you should learn about it and address it. The problem is not about 'the whites', but about whoever spreads discrimination and hate.",Informative,other
133,All immigrants are murderers,"How can you say that about them all? You cannot know the actions of millions of people and be sure that there is a link between immigration and violence. I think it is more a question of statistics, which I do not see.",Informative,MIGRANTS
134,"I'm not anti-gay, but what is the point of loving someone who is different from you? They are just a bunch of whiners.","Equality does not entail preference. Let's face it: most of the time, people want to love and to be loved, and not to make a decision purely based on their sex.",Positive,LGBT+
135,"Jews control Hollywood, they own most banks, and they own most corporations.","Jews have been part of the industry for a long time, and have been among the greatest innovators and investors, and this is something they should be praised for. Instead they are the victims of discrimination and exclusion.",Positive,JEWS
